"","INDEX","TARGET"
"1","3",2.02826302292349
"2","9",3.96056412732966
"3","10",2.25382482240536
"4","18",2.46639323131088
"5","21",0.707449284313303
"6","30",5.76473434390222
"7","31",3.60558406534475
"8","37",1.41288834644832
"9","39",0.183914688935292
"10","47",1.59718370430837
"11","60",2.25299527323552
"12","62",0.320995657190904
"13","63",3.70592236033456
"14","64",1.6138952940925
"15","68",1.6150850717738
"16","75",2.8921177108098
"17","76",2.60599791907079
"18","83",0.071297399255905
"19","87",3.55289773238151
"20","92",5.58187760836385
"21","98",2.3036510388668
"22","106",1.60403154878314
"23","107",0.331038365177988
"24","113",2.46673819347149
"25","120",3.55014069132195
"26","123",5.92618488193763
"27","125",2.82615005749442
"28","126",6.11809352292388
"29","128",4.55716813726068
"30","129",2.52004489433522
"31","131",4.2035898457623
"32","135",1.39707445426469
"33","141",4.00102616167128
"34","147",3.33435514126133
"35","148",1.79080019430845
"36","151",3.70310888451559
"37","156",2.70043075547189
"38","157",3.2611123094465
"39","174",1.45338779524202
"40","186",0.52663406469053
"41","193",2.32470850186403
"42","195",1.51886506929097
"43","212",0.396305568284444
"44","213",1.06869889811783
"45","217",2.95100369144271
"46","223",3.65073995338939
"47","226",3.13515892142473
"48","228",4.6994079353394
"49","230",3.93936867525125
"50","241",2.5970985781686
"51","243",3.82212377507849
"52","249",1.24095291340135
"53","281",4.14688272077005
"54","288",0.231187016333931
"55","294",1.87727716138764
"56","295",2.06876209664071
"57","300",5.73833263914641
"58","302",4.38579177000025
"59","303",1.85612358720853
"60","308",1.81705493671725
"61","319",4.84516581337565
"62","320",1.46638288054463
"63","324",2.69690447285013
"64","331",2.75249246640725
"65","343",3.05128868322687
"66","347",2.52530777364217
"67","348",3.46203691435245
"68","350",4.82463374367597
"69","357",1.17129034957164
"70","358",3.55567182994422
"71","360",4.25655800181866
"72","366",3.69379320978297
"73","367",2.44507768640857
"74","368",4.83735994193547
"75","376",2.07294852129701
"76","380",3.13081242169854
"77","388",0.596503417044041
"78","396",4.54764854763643
"79","398",4.63733094236089
"80","403",4.09766245819101
"81","410",1.6422962358623
"82","412",0.907596062939107
"83","420",2.22299730188494
"84","434",2.48486366440839
"85","440",2.82756621767005
"86","450",3.51697703406652
"87","453",2.40318162107632
"88","464",4.68894400948913
"89","465",4.48324678321217
"90","466",4.88934306702318
"91","473",2.2736062494475
"92","476",1.85957990147289
